customerid,city,zip_code,latitude,longitude,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn_label,churn_value,churn_score,cltv,tenure_group,avg_monthly_usage,payment_risk,customer_value_segment,total_services
5380-WJKOV,Los Angeles,90041,34.137412,-118.207607,Male,No,No,Yes,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,65,2941,2-4 Years,104.38970588235294,High Risk,Bronze,7
8168-UQWWF,Los Angeles,90042,34.11572,-118.192754,Female,No,No,Yes,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,70,5674,0-1 Year,100.4909090909091,Low Risk,Platinum,6
7760-OYPDY,Los Angeles,90056,33.987945,-118.370442,Female,No,No,Yes,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,90,5586,0-1 Year,72.075,High Risk,Platinum,3
9420-LOJKX,Los Angeles,90061,33.92128,-118.274186,Female,No,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1,82,2966,1-2 Years,95.09333333333333,Low Risk,Bronze,6
7495-OOKFY,Los Angeles,90063,34.044271,-118.185237,Female,Yes,Yes,Yes,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,1,69,5302,0-1 Year,79.1625,Low Risk,Gold,4
1658-BYGOY,Los Angeles,90065,34.108833,-118.229715,Male,Yes,No,Yes,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1,81,3179,1-2 Years,97.36388888888888,High Risk,Bronze,5
5698-BQJOH,Beverly Hills,90211,34.063947,-118.383001,Female,No,No,Yes,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,1,96,5571,0-1 Year,95.25,High Risk,Platinum,5
5919-TMRGD,Huntington Park,90255,33.97803,-118.217141,Female,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,1,87,2483,0-1 Year,79.35,High Risk,Bronze,3
9191-MYQKX,Lynwood,90262,33.923573,-118.200669,Female,No,Yes,Yes,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,1,70,3457,0-1 Year,70.98571428571428,Low Risk,Bronze,3
8637-XJIVR,Marina Del Rey,90292,33.977468,-118.445475,Female,No,No,Yes,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,1,86,5806,0-1 Year,77.27916666666667,High Risk,Platinum,4
0278-YXOOG,Inglewood,90301,33.956445,-118.358634,Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,1,66,2604,0-1 Year,22.77,Medium Risk,Bronze,1
4598-XLKNJ,Inglewood,90303,33.936291,-118.332639,Female,Yes,Yes,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,1,88,5337,2-4 Years,100.58,High Risk,Gold,6
3192-NQECA,Santa Monica,90403,34.031529,-118.491156,Male,No,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,1,86,5034,4+ Years,111.93897058823529,Low Risk,Gold,8
0486-HECZI,Torrance,90504,33.867257,-118.330794,Male,No,Yes,Yes,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,1,75,5154,4+ Years,95.25272727272727,High Risk,Gold,6
4846-WHAFZ,Whittier,90602,33.972119,-118.020188,Female,Yes,Yes,Yes,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,1,67,2793,2-4 Years,77.51756756756757,High Risk,Bronze,3
5299-RULOA,Whittier,90606,33.976678,-118.065875,Female,No,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,Yes,1,87,5998,0-1 Year,106.465,High Risk,Platinum,6
0404-SWRVG,La Habra,90631,33.940619,-117.9513,Male,No,No,Yes,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,229.55,Yes,1,76,4415,0-1 Year,76.51666666666667,High Risk,Silver,3
4412-YLTKF,Pico Rivera,90660,33.989524,-118.089299,Female,Yes,No,Yes,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,78.05,2135.5,Yes,1,95,4638,2-4 Years,79.0925925925926,High Risk,Gold,4
6207-WIOLX,Avalon,90704,33.391181,-118.421305,Female,No,Yes,No,25,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),58.6,1502.65,Yes,1,99,4190,2-4 Years,60.106,Low Risk,Silver,6
3091-FYHKI,Harbor City,90710,33.798266,-118.300237,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,Yes,1,80,2301,0-1 Year,35.45,High Risk,Bronze,2
2372-HWUHI,Lakewood,90712,33.840524,-118.148403,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,44.35,81.25,Yes,1,76,2570,0-1 Year,40.625,High Risk,Bronze,2
0390-DCFDQ,Los Alamitos,90720,33.79499,-118.065591,Female,Yes,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,70.45,Yes,1,76,3964,0-1 Year,70.45,Medium Risk,Silver,2
4080-OGPJL,San Pedro,90731,33.736387,-118.284363,Female,No,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,Yes,1,66,2662,0-1 Year,70.45625,High Risk,Bronze,6
2135-RXIHG,Carson,90745,33.822295,-118.26411,Male,No,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,Yes,1,73,2600,0-1 Year,45.65,High Risk,Bronze,2
3874-EQOEP,Long Beach,90804,33.783047,-118.1486,Male,No,No,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,Yes,1,94,2786,0-1 Year,93.64285714285714,Medium Risk,Bronze,5
0867-MKZVY,Altadena,91001,34.196837,-118.142236,Female,No,Yes,Yes,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,Yes,1,86,5719,1-2 Years,79.61749999999999,High Risk,Platinum,4
3376-BMGFE,Monrovia,91016,34.1528,-118.000482,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.9,273.0,Yes,1,75,4287,0-1 Year,68.25,Low Risk,Silver,2
3445-HXXGF,Sierra Madre,91024,34.168686,-118.057505,Male,Yes,Yes,No,58,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,Yes,1,100,5444,4+ Years,45.710344827586205,High Risk,Platinum,4
1875-QIVME,Tujunga,91042,34.296574,-118.244839,Female,No,Yes,Yes,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.4,242.8,Yes,1,83,4690,0-1 Year,121.4,High Risk,Gold,7
0691-JVSYA,Pasadena,91103,34.167465,-118.165327,Female,No,Yes,No,53,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),94.85,5000.2,Yes,1,80,4328,4+ Years,94.3433962264151,Low Risk,Silver,5
2656-FMOKZ,Pasadena,91106,34.139402,-118.128658,Female,Yes,No,Yes,15,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.45,1145.7,Yes,1,99,5717,1-2 Years,76.38000000000001,Medium Risk,Platinum,3
2070-FNEXE,Pasadena,91107,34.159007,-118.087353,Female,Yes,No,Yes,7,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),76.45,503.6,Yes,1,81,4419,0-1 Year,71.94285714285715,Low Risk,Silver,3
6317-YPKDH,Glendale,91202,34.167926,-118.267539,Female,No,No,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,29.95,Yes,1,95,4534,0-1 Year,29.95,Low Risk,Gold,2
9367-WXLCH,Glendale,91204,34.136306,-118.26036,Male,No,No,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),84.5,662.65,Yes,1,86,2152,0-1 Year,82.83125,Low Risk,Bronze,4
1918-ZBFQJ,Glendale,91206,34.162515,-118.203869,Female,No,No,Yes,13,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,79.25,1111.65,Yes,1,73,5142,1-2 Years,85.51153846153846,High Risk,Gold,4
1024-GUALD,Glendale,91207,34.182378,-118.262922,Female,No,Yes,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,24.8,Yes,1,94,4851,0-1 Year,24.8,High Risk,Gold,1
2472-OVKUP,Canoga Park,91304,34.224377,-118.632656,Male,No,Yes,Yes,6,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,91.0,531.0,Yes,1,94,2283,0-1 Year,88.5,High Risk,Bronze,5
1285-OKIPP,Mission Hills,91345,34.266389,-118.459744,Male,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,79.9,79.9,Yes,1,98,3394,0-1 Year,79.9,High Risk,Bronze,3
7825-ECJRF,Santa Clarita,91350,34.502432,-118.41459,Female,No,No,Yes,19,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,106.6,1934.45,Yes,1,71,3764,1-2 Years,101.81315789473685,High Risk,Silver,7
7841-TZDMQ,Sun Valley,91352,34.231053,-118.338307,Male,No,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),46.0,84.5,Yes,1,76,2667,0-1 Year,42.25,Low Risk,Bronze,2
9408-SSNVZ,Stevenson Ranch,91381,34.364153,-118.615583,Female,No,No,Yes,4,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.15,268.35,Yes,1,67,2227,0-1 Year,67.0875,High Risk,Bronze,2
0742-MOABM,Panorama City,91402,34.223768,-118.445461,Male,No,Yes,No,4,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,50.05,179.35,Yes,1,82,3394,0-1 Year,44.8375,Medium Risk,Bronze,3
2232-DMLXU,Van Nuys,91411,34.17847,-118.459472,Female,No,Yes,No,1,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55.2,55.2,Yes,1,81,3638,0-1 Year,55.2,Medium Risk,Silver,3
8937-RDTHP,Burbank,91504,34.213049,-118.317651,Male,No,No,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,84.6,84.6,Yes,1,66,2484,0-1 Year,84.6,Medium Risk,Bronze,4
1251-KRREG,North Hollywood,91601,34.1692,-118.372498,Male,No,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,54.4,114.1,Yes,1,81,2556,0-1 Year,57.05,Medium Risk,Bronze,4
0094-OIFMO,North Hollywood,91605,34.207295,-118.400022,Female,Yes,No,Yes,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,Yes,1,85,5980,0-1 Year,101.84545454545454,High Risk,Platinum,5
9947-OTFQU,Covina,91722,34.097345,-117.906736,Male,Yes,No,No,15,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.4,1074.3,Yes,1,86,4616,1-2 Years,71.61999999999999,High Risk,Gold,3
0322-YINQP,Covina,91723,34.084747,-117.886844,Male,No,No,No,1,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.55,48.55,Yes,1,77,5687,0-1 Year,48.55,Medium Risk,Platinum,3
4629-NRXKX,El Monte,91731,34.079934,-118.046695,Female,No,Yes,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.4,147.15,Yes,1,75,5687,0-1 Year,73.575,High Risk,Platinum,2
9514-JDSKI,El Monte,91732,34.074492,-118.01462,Male,Yes,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,40.2,40.2,Yes,1,65,5828,0-1 Year,40.2,High Risk,Platinum,3
4959-JOSRX,La Puente,91744,34.031441,-117.936436,Female,No,Yes,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.6,80.55,Yes,1,99,4884,0-1 Year,40.275,Low Risk,Gold,2
7273-TEFQD,La Puente,91746,34.038983,-117.991372,Male,Yes,No,No,3,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,Yes,1,96,2314,0-1 Year,44.06666666666666,High Risk,Bronze,3
3606-TWKGI,Rowland Heights,91748,33.976753,-117.897367,Male,Yes,No,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.9,1364.3,Yes,1,84,2494,1-2 Years,104.94615384615385,High Risk,Bronze,7
6323-AYBRX,Ontario,91762,34.057256,-117.667677,Male,No,No,No,59,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,1099.6,Yes,1,83,5084,4+ Years,18.63728813559322,Medium Risk,Gold,1
4385-GZQXV,Ontario,91764,34.074087,-117.605618,Female,Yes,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,Yes,1,81,3810,1-2 Years,94.45,High Risk,Silver,5
6366-ZGQGL,Pomona,91766,34.042286,-117.756106,Male,No,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),24.8,24.8,Yes,1,73,5087,0-1 Year,24.8,Low Risk,Gold,1
5940-AHUHD,Pomona,91768,34.067932,-117.785168,Male,No,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,70.6,70.6,Yes,1,69,3338,0-1 Year,70.6,Medium Risk,Bronze,2
6432-TWQLB,Rosemead,91770,34.065108,-118.082791,Male,No,Yes,No,5,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,85.4,401.1,Yes,1,80,3676,0-1 Year,80.22,High Risk,Silver,5
4484-GLZOU,San Dimas,91773,34.102119,-117.815532,Female,No,Yes,No,52,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.05,5624.85,Yes,1,65,4839,4+ Years,108.17019230769232,High Risk,Gold,7
9512-UIBFX,West Covina,91791,34.061634,-117.893169,Male,No,Yes,No,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.15,1779.95,Yes,1,68,4643,1-2 Years,98.88611111111112,Medium Risk,Gold,5
5583-SXDAG,Alhambra,91803,34.074736,-118.145959,Male,No,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,70.0,70.0,Yes,1,97,4094,0-1 Year,70.0,High Risk,Silver,2
3488-PGMQJ,Alpine,91901,32.827184,-116.703729,Male,Yes,No,No,8,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.5,606.55,Yes,1,80,4345,0-1 Year,75.81875,High Risk,Silver,3
3580-REOAC,Bonita,91902,32.67117,-117.00232,Male,No,No,No,10,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),44.85,435.4,Yes,1,83,4061,0-1 Year,43.54,Low Risk,Silver,2
7534-BFESC,Boulevard,91905,32.677097,-116.304991,Male,Yes,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.1,1712.7,Yes,1,98,2018,1-2 Years,71.3625,High Risk,Bronze,3
6390-DSAZX,Guatay,91931,32.857946,-116.561917,Female,No,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,73.6,73.6,Yes,1,80,2565,0-1 Year,73.6,Medium Risk,Bronze,3
8098-LLAZX,Jacumba,91934,32.649787,-116.2237,Female,Yes,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,396.1,Yes,1,85,3677,0-1 Year,99.025,High Risk,Silver,5
0265-EDXBD,Mount Laguna,91948,32.830852,-116.444601,Male,Yes,Yes,No,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.9,2303.35,Yes,1,69,4105,2-4 Years,71.9796875,High Risk,Silver,3
7563-BIUPC,Borrego Springs,92004,33.200369,-116.192313,Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.6,415.55,Yes,1,69,5715,0-1 Year,83.11,High Risk,Platinum,3
2321-OMBXY,Carlsbad,92009,33.098018,-117.258203,Female,No,Yes,No,38,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Credit card (automatic),80.3,3058.65,Yes,1,81,2071,2-4 Years,80.49078947368422,Low Risk,Bronze,7
2840-XANRC,Del Mar,92014,32.948262,-117.256086,Male,Yes,Yes,No,24,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.15,2231.05,Yes,1,73,2212,1-2 Years,92.96041666666667,High Risk,Bronze,5
5020-ZSTTY,El Cajon,92020,32.79697,-116.969082,Female,Yes,No,No,54,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),82.45,4350.1,Yes,1,83,4149,4+ Years,80.55740740740741,Low Risk,Silver,8
5804-LEPIM,Escondido,92029,33.079834,-117.134275,Female,Yes,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.35,139.05,Yes,1,73,2671,0-1 Year,69.525,High Risk,Bronze,2
0122-OAHPZ,Oceanside,92057,33.254497,-117.285879,Female,No,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.85,511.25,Yes,1,67,2473,0-1 Year,73.03571428571429,High Risk,Bronze,3
2868-SNELZ,Pala,92059,33.384345,-117.072619,Female,No,No,No,2,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,80.6,155.8,Yes,1,92,2683,0-1 Year,77.9,Medium Risk,Bronze,4
4322-RCYMT,Palomar Mountain,92060,33.309852,-116.823091,Male,No,Yes,No,68,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),75.8,5293.95,Yes,1,81,4903,4+ Years,77.85220588235293,Low Risk,Gold,7
6680-NENYN,Pauma Valley,92061,33.313828,-116.940501,Female,No,No,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Electronic check,104.6,4759.85,Yes,1,91,5250,2-4 Years,110.69418604651163,High Risk,Gold,7
1343-EHPYB,Ranchita,92066,33.215251,-116.53633,Male,No,Yes,No,63,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.4,6603.0,Yes,1,98,4352,4+ Years,104.80952380952381,High Risk,Silver,7
2034-GDRCN,Valley Center,92082,33.25283,-116.986079,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,90.4,168.2,Yes,1,76,4157,0-1 Year,84.1,High Risk,Silver,4
0219-YTZUE,San Diego,92103,32.747484,-117.166877,Male,No,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),84.8,371.9,Yes,1,73,4939,0-1 Year,92.975,Low Risk,Gold,5
0623-IIHUG,San Diego,92104,32.741499,-117.127409,Female,Yes,No,No,21,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,41.9,840.1,Yes,1,97,4778,1-2 Years,40.00476190476191,High Risk,Gold,3
4572-DVCGN,San Diego,92105,32.741859,-117.090353,Female,No,No,No,10,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.25,846.0,Yes,1,85,3598,0-1 Year,84.6,Low Risk,Silver,3
9057-MSWCO,San Diego,92108,32.774046,-117.142454,Male,Yes,Yes,No,27,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),30.75,805.1,Yes,1,91,2927,2-4 Years,29.81851851851852,Low Risk,Bronze,2
1010-DIAUQ,San Diego,92116,32.765299,-117.122565,Male,No,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.5,492.55,Yes,1,98,5383,0-1 Year,98.51,Low Risk,Platinum,5
0259-GBZSH,San Diego,92122,32.85723,-117.209774,Male,No,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.65,181.5,Yes,1,73,3878,0-1 Year,90.75,High Risk,Silver,4
9601-BRXPO,San Diego,92129,32.961064,-117.134917,Female,No,Yes,No,25,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.95,2566.5,Yes,1,66,3642,2-4 Years,102.66,Low Risk,Silver,7
6905-NIQIN,San Diego,92154,32.578103,-117.012975,Male,No,No,No,1,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,50.65,50.65,Yes,1,76,2431,0-1 Year,50.65,Medium Risk,Bronze,3
5167-ZFFMM,Indio,92201,33.713891,-116.237257,Male,No,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),90.85,90.85,Yes,1,81,3424,0-1 Year,90.85,Low Risk,Bronze,5
4895-TMWIR,Indian Wells,92210,33.537646,-116.291089,Male,Yes,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,214.75,Yes,1,80,5888,0-1 Year,19.522727272727273,Medium Risk,Platinum,1
0533-BNWKF,Palm Desert,92211,33.762759,-116.324817,Female,Yes,Yes,No,55,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.45,4874.7,Yes,1,100,5502,4+ Years,88.63090909090909,High Risk,Platinum,5
6599-CEBNN,Desert Hot Springs,92240,33.948558,-116.516976,Female,No,No,No,34,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.95,2524.45,Yes,1,94,5795,2-4 Years,74.24852941176471,Low Risk,Platinum,3
